2025-05-21 17:13:25 | INFO     | app.service.employee_service:13 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-21 17:13:25 | INFO     | app.service.employee_service:17 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-21 17:13:25 | INFO     | app.service.employee_service:26 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Amit Sharma', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Delhi', 'dob': '****-**-**', 'projects': []}
2025-05-21 17:13:25 | INFO     | app.service.employee_service:36 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-21 17:13:25 | INFO     | app.service.employee_service:38 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-21 17:13:25 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-21 17:13:25 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-21 17:13:25 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [HEAD, GET, OPTIONS] /static/<path:filename>', 'index [HEAD, GET, OPTIONS] /', 'all_employees [HEAD, GET, OPTIONS] /employees', 'bench_employees [HEAD, GET, OPTIONS] /employees/bench', 'active_projects [HEAD, GET, OPTIONS] /employees/active_projects', 'completed_projects [HEAD, GET, OPTIONS] /employees/completed_projects']
2025-05-21 17:13:25 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-21 17:13:26 | INFO     | app.service.employee_service:13 | load_employees() | [MainThread] | INITIALIZATION: Starting to load employee data from file: app/data/employees_details.json
2025-05-21 17:13:26 | INFO     | app.service.employee_service:17 | load_employees() | [MainThread] | DATA LOAD: Successfully read 15 employee records from JSON file
2025-05-21 17:13:26 | INFO     | app.service.employee_service:26 | load_employees() | [MainThread] | DATA SAMPLE: First record structure: {'emp_id': 'E101', 'name': 'Amit Sharma', 'department': 'Finance', 'salary': '******', 'designation': 'Analyst', 'location': 'Delhi', 'dob': '****-**-**', 'projects': []}
2025-05-21 17:13:26 | INFO     | app.service.employee_service:36 | load_employees() | [MainThread] | STATISTICS: Department distribution: {'Finance': 3, 'HR': 2, 'IT': 5, 'QA': 2, 'Marketing': 1, 'Operations': 1, 'Support': 1}
2025-05-21 17:13:26 | INFO     | app.service.employee_service:38 | load_employees() | [MainThread] | INITIALIZATION COMPLETE: Created 15 Employee objects successfully
2025-05-21 17:13:26 | INFO     | employee_api.main:57 | <module>() | [MainThread] | SERVER STARTUP: Initializing Employee API server
2025-05-21 17:13:26 | INFO     | employee_api.main:58 | <module>() | [MainThread] | SERVER CONFIG: Debug mode: False, Host: 127.0.0.1, Port: 5000
2025-05-21 17:13:26 | INFO     | employee_api.main:65 | <module>() | [MainThread] | SERVER ROUTES: Available endpoints: ['static [HEAD, OPTIONS, GET] /static/<path:filename>', 'index [HEAD, OPTIONS, GET] /', 'all_employees [HEAD, OPTIONS, GET] /employees', 'bench_employees [HEAD, OPTIONS, GET] /employees/bench', 'active_projects [HEAD, OPTIONS, GET] /employees/active_projects', 'completed_projects [HEAD, OPTIONS, GET] /employees/completed_projects']
2025-05-21 17:13:26 | INFO     | employee_api.main:66 | <module>() | [MainThread] | SERVER READY: Employee API server is ready to accept requests
2025-05-21 17:16:50 | INFO     | employee_api.main:18 | all_employees() | [Thread-2 (process_request_thread)] | API REQUEST [1747564011648]: All employees endpoint called from IP: 127.0.0.1, User-Agent: PostmanRuntime/7.43.4
2025-05-21 17:16:50 | INFO     | app.service.employee_service:47 | get_all_employees() | [Thread-2 (process_request_thread)] | API REQUEST: Retrieving complete employee dataset containing 15 records
2025-05-21 17:16:50 | INFO     | app.service.employee_service:49 | get_all_employees() | [Thread-2 (process_request_thread)] | API RESPONSE: Returning 15 employee records with 10 total projects
2025-05-21 17:16:50 | INFO     | employee_api.main:22 | all_employees() | [Thread-2 (process_request_thread)] | API RESPONSE [1747564011648]: Returning 15 employees with HTTP 200 status
